Title,Price,Star,Rating,Genre,Badge,Url,ASIN
Fortune and Glory: A Novel (A Stephanie Plum Novel Book 27),$14.99,4.6 out of 5 stars,"2,608",Empty,#6 on Amazon Charts,https://www.amazon.com//Fortune-Glory-Novel-Stephanie-Plum-ebook/dp/B085DQTY3P/ref=sr_1_18?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-18,B085DQTY3P
The Best of Me,$0.00,4.6 out of 5 stars,204,Empty,#19 on Amazon Charts,https://www.amazon.com//The-Best-of-Me/dp/B08H8STW83/ref=sr_1_19?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-19,B08H8STW83
No Time Like the Future: An Optimist Considers Mortality,$17.68,3.8 out of 5 stars,4,in Biographies of People with Disabilities,Best Seller,https://www.amazon.com//Time-Like-Future-Considers-Mortality/dp/1250265614/ref=sr_1_20?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-20,1250265614
Home Body,$11.26,4.5 out of 5 stars,18,in Poetry by Women,Best Seller,https://www.amazon.com//Home-Body-Rupi-Kaur/dp/1449486800/ref=sr_1_21?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-21,1449486800
"The Greatest Beer Run Ever: A Memoir of Friendship, Loyalty, and War",$25.19,4.7 out of 5 stars,109,Empty,#18 on Amazon Charts,https://www.amazon.com//Greatest-Beer-Run-Ever-Friendship/dp/0062995464/ref=sr_1_22?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-22,0062995464
Heroes' Feast (Dungeons & Dragons): The Official D&D Cookbook,$14.99,4.8 out of 5 stars,420,"in Science Fiction, Fantasy & Horror Television",Best Seller,https://www.amazon.com//Heroes-Feast-Official-Dungeons-Cookbook/dp/1984858904/ref=sr_1_23?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-23,1984858904
The Sentinel: A Jack Reacher Novel,$14.99,4.2 out of 5 stars,"10,096",Empty,#4 on Amazon Charts,https://www.amazon.com//Sentinel-Jack-Reacher-Novel-ebook/dp/B084FLW5KM/ref=sr_1_24?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-24,B084FLW5KM
"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recipes (Unofficial Cookbook)",$13.19,4.7 out of 5 stars,113,in Theme Park Travel Guides,Best Seller,https://www.amazon.com//Unofficial-Disney-Parks-Cookbook-Disney-Inspired/dp/1507214510/ref=sr_1_25?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-25,1507214510
Unlocked Book 8.5 (Keeper of the Lost Cities),$16.09,3.3 out of 5 stars,34,Empty,Teachers' pick,https://www.amazon.com//Unlocked-Book-Keeper-Lost-Cities/dp/1534463429/ref=sr_1_26?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-26,1534463429
This Is Your Time,$14.39,4.5 out of 5 stars,61,in Children's Black & African American Story Books,Best Seller,https://www.amazon.com//This-Your-Time-Ruby-Bridges/dp/0593378520/ref=sr_1_27?dchild=1&fst=as%3Aoff&qid=1605801188&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-27,0593378520
